,ad_num,company,model,price,engine,year,hand,km,eng_kind,test,current_owner,prev_owner,צבע,gearbox,trader,area,sub_area
0,91582746,מרצדס,ML,69400,2987,2011,6,211900,6,06/2023,0,0,שחור,0,0,2,פתח תקווה
1,68515981,וולוו,XC40,279000,1477,2023,1,3400,3,12/2023,0,0,שחור,0,0,2,רמת גן
2,59632343,מיצובישי,אאוטלנדר,91000,1998,2016,3,147000,7,05/2023,0,0,כסוף,0,0,2,ראשון לציון
3,48986962,קיה,ריו,32000,1396,2015,2,161000,7,09/2023,0,0,אפור,0,0,2,בת ים
4,97402912,ניסאן,אקס,146000,1749,2020,1,31500,6,09/2023,0,0,כסוף,0,0,2,בני ברק
5,53466716,פיג'ו,3008,30000,1598,2015,3,120000,7,08/2023,0,0,אפור,0,0,2,גבעתיים
6,65550022,ג'יפ,/,99000,5700,2009,4,195000,7,12/2023,0,0,אפור,0,0,2,ראשון לציון
7,85330794,קיה,נירו,98000,1580,2018,2,103000,7,03/2024,0,0,אפור,0,0,2,קרית אונו
8,59947675,מיצובישי,אאוטלנדר,105000,1998,2018,1,77000,3,12/2023,0,0,לבן,0,0,2,תל אביב יפו
9,95333792,סובארו,XV,94000,1600,2018,1,83000,7,12/2023,0,0,לבן,0,0,2,ראשון לציון
10,74328357,קיה,ספורטז',61000,1591,2015,2,147000,7,05/2023,0,0,לבן,0,0,2,מודיעין מכבים רעות
11,67088193,פיאט,500C,65000,1242,2019,1,52000,7,05/2023,0,0,לבן,3,0,2,תל אביב יפו
12,61101934,קרייזלר,טאון,16000,3301,2007,4,128000,7,07/2023,0,0,כסוף,0,0,2,תל אביב יפו
13,99497414,מיצובישי,אאוטלנדר,100000,1998,2016,2,86000,7,08/2023,0,0,לבן,0,0,2,פתח תקווה
14,68055332,מאזדה,3,12750,1598,2008,1,164000,7,05/2024,0,0,כחול,0,0,2,ראשון לציון
15,54595603,קאדילק,XT5,149000,3649,2018,1,132000,7,03/2024,0,0,שחור,0,0,2,תל אביב יפו
16,86915308,מרצדס,GLC-Class,491000,1991,2022,1,8000,3,10/2023,0,0,אפור,0,0,2,חולון
17,93336184,מאזדה,CX-5,195000,2488,2020,1,28000,7,07/2023,0,0,לבן,0,0,2,אור יהודה
18,63358428,סקודה,קודיאק,233000,1968.0,2022,1,13800,6,06/2023,0,,כסף,0,0,2,חולון
19,64653602,קיה,פיקנטו,67000,1248.0,2017,1,58000,7,01/2024,0,,לבן,0,0,2,פתח תקווה
