,Model_Code,Engine_Capacity,Brand,Model,Year,Average_Price
0,737257,1242,פיאט,פנדה החדשה (One (1242,2016,22500
1,724111,1400,פולקסווגן,פולו 5 דלת' דור 4,2005,22500
2,817162,998,סיטרואן,C-1‏ LIVE (998),2016,22500
3,961029,995,שברולט,"ספארק ידני 68 כ""ס (995)",2015,22500
4,817265,1600,סיטרואן,C-3‏ PICASSO (1600),2013,22500
5,413007,1299,טויוטה,יאריס סול (1299)‏ 5 דלת',2008,22500
6,465275,3996,יגואר,XKR קופה‏ (3996),2000,22500
7,869161,3200,קרייזלר,קרוספייר (3200),2007,22500
8,312010,1339,הונדה,JAZZ‏ LS אוטו' (1339),2009,32500
9,737260,1400,פיאט,פונטו אקטיב (1400) EVO,2016,32500
10,281250,1495,דייהטסו,ג'יפ טריוס 4X4 SX אוטו',2010,32500
11,481208,1250,יונדאי,I-10 סופרים (1250) אוטו',2013,32500
12,724205,1984,פולקסווגן,גולף דור 5‏ (1984),2008,32500
13,312025,1339,הונדה,JAZZ אוטו' (1339) טרנד,2012,32500
14,885045,1399,קיה,מוטורס ריו EX אוטו' (1399),2012,32500
15,739272,1598,פיג'ו,308 קומפורט פלוס (1598),2011,32500
16,961134,1991,שברולט,קפיטיבה LT (1991),2010,32500
17,724186,1595,פולקסווגן,גולף דור 5‏ (1595),2007,32500
18,465210,3980,יגואר,סוברין ארוך V8 (3980),2002,32500
19,274117,3724,מרצדס,S350 רפודי עור (3724),2006,32500
20,465600,2495,יגואר,X-TYPE‏ (2495),2006,32500
21,274150,4266,מרצדס,500 S‏ (4973) אוטו',2005,32500
22,465610,2967,יגואר,X-TYPE (2967),2005,32500
23,312025,1339,הונדה,JAZZ‏ טרנד (1339),2015,42500
24,413001,1299,טויוטה,יאריס סטייל (1329)‏ אוטו',2012,42500
25,778540,1400,סיאט,איביזה החדשה (1400),2015,42500
26,737260,1400,פיאט,פונטו אקטיב EVO(1400),2015,42500
27,281250,1495,דייהטסו,ג'יפ טריוס 4X4 (1495),2013,42500
28,724135,1200,פולקסווגן,פולו TSI (1200),2015,42500
29,259300,2400,דודג',ג'רני SE (2400) אוטו',2014,42500
30,624117,1600,ניסאן,אלמרה (1600) אוטו' SV,2017,42500
31,312144,1799,הונדה,סיוויק LS (1799),2007,42500
32,739342,1600,פיג'ו,508 אקסס (1600),2015,42500
33,361120,1596,וולוו,S-40 T4 R-DESIGN אוטו' (1596),2013,42500
34,724186,1595,פולקסווגן,גולף דור 5‏ (1595),2005,42500
35,19223,1798,אודי,A-3‏ 3 דלת' אוטו'‏ (1798),2013,42500
36,465610,2967,יגואר,X-TYPE‏ (2967),2009,42500
37,465260,3980,יגואר,XK8 קופה אוטו (3980),2005,42500
38,465280,3980,יגואר,XKR קבריולט אוטו',2003,42500
39,465300,3980,יגואר,דימלר מפואר אוטו'‏ (3980),2002,42500
40,465285,2997,יגואר,S-TYPE‏ 3.0 אוטו',2008,42500
41,624004,1198,ניסאן,אקו מיקרה (1198) ידני,2019,53000
42,928122,900,רנו,קליאו החדשה (900) קולקשן,2017,53000
43,481202,1000,יונדאי,I-10 החדשה אינסייט (1000) אוטו',2018,53000
44,928488,1997,רנו,מגאן החדשה קופה אוטו' (1997),2013,53000
45,676132,1600,סקודה,אוקטביה (1600)TDI אלגנס,2016,53000
46,413082,1798,טויוטה,אוריס GLI היברידי (1798),2013,53000
47,312233,1799,הונדה,סיוויק ספורט 5 דלת' (1799),2013,53000
48,481311,1591,יונדאי,I30 אינספייר (1591),2016,53000
49,465220,4200,יגואר,XJR V8 אוטו'‏ (3980),2005,53000
50,274181,3500,מרצדס,E350 אוטו' אלגנס לקצ'ורי (3500),2009,53000
51,465270,3980,יגואר,XK8 קבריולט V8 אוטו' (3980),2005,53000
52,778541,1400,סיאט,איביזה החדשה (1400),2015,64000
53,729053,1599,פורד,פיאסטה החדשה (1599),2016,64000
54,481234,1250,יונדאי,(I-10 (1250 אינספייר אוטו',2020,64000
55,481273,1396,יונדאי,I-20‏ inspire‏ (1400) אוטו',2018,64000
56,74287,1400,אלפא,רומאו מיטו (1400) תלתן ירוק,2017,64000
