,ad_num,company,model,price,engine,year,hand,km,eng_kind,test,current_owner,prev_owner,צבע,gearbox,trader,area,sub_area
0,78948301,לנד רובר, דיסקברי ספורט,350000,1997,2021,1,34500,7,,0,,לבן,0,0,2,רמת גן
1,81472642,סקודה, אוקטביה,125000,999,2021,1,37000,7,23-Apr,0,,חום,0,0,2,פתח תקווה
2,61101934,קרייזלר, טאון קאנטרי,16000,3301,2007,4,128000,7,23-Jul,0,0,כסוף,0,0,2,תל אביב יפו
3,87269569,אאודי, A6,61000,1984,2012,5,117000,7,23-Aug,0,0,שחור,0,0,2,מודיעין מכבים רעות
4,81369836,קיה, פיקנטו,59000,1248,2017,2,55000,7,23-Sep,0,0,קרם,0,0,2,תל אביב יפו
5,53466716,פיג'ו,3008,30000,1598,2015,3,120000,7,23-Aug,0,0,אפור,0,0,2,גבעתיים
6,47061023,מרצדס, GLE קופה,685000,2925,2022,1,16000,6,23-Aug,0,0,לבן,0,0,2,תל אביב יפו
7,69139813,טויוטה, קורולה הייבריד,115000,1798,2019,1,87500,7,23-Jul,0,0,לבן,0,0,2,מודיעין מכבים רעות
8,48532204,קיה, ספורטז',95000,1999,2017,2,45000,7,23-Sep,0,0,שחור,0,0,2,ראשון לציון
9,64429081,מיצובישי, אקליפס קרוס,102900,1499,2018,2,43000,7,23-Aug,0,1,כסוף,0,0,2,תל אביב יפו
10,85914736,אאודי, S3,128000,1984,2014,4,132000,7,23-May,0,0,לבן,0,0,2,אזור
11,58913587,ב.מ.וו, X5,450000,2998,2021,1,16500,7,23-Aug,0,0,אפור,0,0,2,תל אביב יפו
12,65740939,מאזדה,3,11000,1598,2008,5,237,7,24-Jan,0,0,כחול,0,0,2,שוהם
13,99182034,סובארו, XV,59500,1995,2013,2,84000,7,23-Nov,0,0,חום,0,0,2,באר יעקב
14,59368854,יונדאי, טוסון,168000,1598,2022,1,13200,7,24-Jan,0,0,לבן,0,0,2,פתח תקווה
15,65919770,מיצובישי, אאוטלנדר,82000,1998,2015,3,152370,7,24-Jan,0,0,שחור,0,0,2,מודיעין מכבים רעות
16,93516523,וולוו, XC60,250000,1969,2022,2,30000,7,24-Jan,0,0,אפור,0,0,2,פתח תקווה
17,86146485,מרצדס, CLA,500000,1991,2022,1,9000,7,23-Nov,0,0,אפור,0,0,2,ראשון לציון
18,86260294,יונדאי, טוסון,,1598,2022,1,9000,7,24-Mar,0,,שחור,0,0,2,בת ים
19,63451034,וולוו, XC60,60000,1999,2013,3,133000,7,24-Jan,0,0,לבן,0,0,2,תל אביב יפו
20,42885110,מזראטי, לבנטה,359000,2979,2019,3,78000,7,24-Jan,0,0,לבן,0,0,2,גני תקווה
21,81096522,מיצובישי, פג'רו ארוך,35000,2835,1998,4,350000,6,23-May,0,0,כחול,0,0,2,תל אביב יפו
22,85999369,יונדאי, i10,16500,1086,2013,2,150000,7,24-Mar,0,1,אפור,1,0,2,ראש העין
23,46794604,מרצדס, C-Class,40000,1796,2010,1,55000,7,23-Sep,0,1,אפור,0,0,2,תל אביב יפו
24,81588036,סיטרואן, ברלינגו דור 2 (2008-2019),57000,1560,2019,2,119000,6,24-Jan,0,0,לבן,1,0,2,רמת גן
25,41725840,סיטרואן, C3,15000,1598,2012,3,194832,7,23-Oct,0,0,אפור,0,0,2,תל אביב יפו
26,53886404,קיה, ריו,47000,1368,2018,3,120000,7,24-Feb,0,0,אפור,0,0,2,בני ברק
27,81174701,אאודי, Q5,200000,1984,2018,2,48000,7,24-Apr,0,0,לבן,0,0,2,ראשון לציון
28,54194926,פורד, אקספלורר,390000,3000,2023,1,6500,7,26-Feb,0,0,אפור,0,0,2,תל אביב יפו
29,68913231,מאזדה, CX-5,105000,1998,2017,2,56353,7,24-Feb,0,0,לבן,0,0,2,תל אביב יפו
30,73943395,סקודה, קודיאק,149000,1395,2018,1,49000,7,23-Jun,0,0,אפור,0,0,2,באר יעקב
31,74293612,ניסאן, מיקרה,64000,1198,2018,1,19000,7,24-Jan,0,0,כחול,0,0,2,תל אביב יפו
32,91980491,יונדאי, טוסון,85000,1999,2016,2,94200,7,24-Apr,0,0,כסוף,0,0,2,קרית אונו
33,95535702,מיצובישי, ASX,118000,1998,2021,1,17000,7,24-May,0,0,כסוף,0,0,2,פתח תקווה
34,57295638,אאודי, A1,113000,999,2018,1,19000,7,24-Mar,0,0,לבן,0,0,2,תל אביב יפו
35,59632343,מיצובישי, אאוטלנדר,91000,1998,2016,3,147000,7,23-May,0,0,כסוף,0,0,2,ראשון לציון
36,66244823,יונדאי, i30,18000,1591,2008,5,250000,7,23-Sep,0,0,אפור,0,0,2,חולון
37,83218857,יונדאי, איוניק 5,213000,,2022,1,19000,2,23-Jun,0,0,לבן,0,0,2,יהוד מונוסון
38,52456166,קיה, ספורטז',88000,1999,2016,2,75000,7,23-Jun,0,0,לבן,0,0,2,ראש העין
39,81818337,אופל, קורסה,53000,1398,2018,2,75000,7,23-Oct,0,0,שחור,0,0,2,גבעתיים
40,72496577,קיה, קרניבל,155000,3342,2017,3,95800,7,23-Dec,0,0,שחור,0,0,2,לוד
41,68788138,סקודה, פאביה,45900,1197,2015,3,120000,7,23-Oct,0,0,אפור,0,0,2,רמת גן
42,75019213,וולוו, S60,190000,1969,2019,2,46000,3,23-Oct,0,0,לבן,0,0,2,תל אביב יפו
43,48986962,קיה, ריו,32000,1396,2015,2,161000,7,23-Sep,0,0,אפור,0,0,2,בת ים
44,61841908,קיה, ספורטז',102000,1598,2019,2,62000,6,24-Apr,0,0,שחור,0,0,2,רמת גן
45,63230813,פורד, אקספלורר,138000,3497,2015,2,138000,7,23-Sep,0,0,לבן,0,0,2,תל אביב יפו
46,66016989,מיצובישי, אאוטלנדר,66000,1998,2016,2,160000,7,23-Aug,0,1,לבן,0,0,2,חולון
47,76177869,שברולט, קולורדו ZR2,,3649,2021,1,19000,7,24-Feb,0,1,כתום,0,0,2,מודיעין מכבים רעות
48,41979453,הונדה, סיוויק סדאן החדשה,170000,1498,2022,2,10000,7,24-Apr,0,0,לבן,0,0,2,רמלה
49,96445381,פורד, פוקוס,47000,1498,2016,2,73000,7,24-Mar,0,0,אפור,0,0,2,גבעתיים
50,43104668,ניסאן, קשקאי,65000,1197,2016,2,100000,7,24-Mar,0,0,כחול,0,0,2,ראש העין
51,79103153,קאדילק, XT5,148000,3649,2017,1,104000,7,23-Jun,0,0,לבן,0,0,2,פתח תקווה
52,71854890,קיה, ספורטז',,1999,2019,1,31000,7,23-May,0,0,כחול,0,0,2,פתח תקווה
53,59343578,קיה, פיקנטו,71000,1197,2022,2,14000,7,24-Mar,0,0,שחור,0,0,2,תל אביב יפו
54,78609483,מיני, קופר,79000,1499,2016,5,100000,7,24-Feb,0,0,קרם,0,0,2,שוהם
55,87149823,סקודה, סופרב (עד 2019),119990,1395,2018,1,86539,7,23-Oct,0,0,לבן,0,0,2,בני ברק
56,54276107,טויוטה, C-HR,90500,1798,2017,2,141000,7,23-May,0,0,כסף,0,0,2,גבעת שמואל
57,43565986,סקודה, אוקטביה,106000,1498,2020,1,43000,7,23-May,1,0,שחור,0,0,2,יהוד מונוסון
58,47506517,מאזדה,3,116000,1998,2020,2,30000,7,24-Mar,0,0,כסוף,0,0,2,בת ים
59,49216242,קיה, ספורטז',,1591,2018,1,43000,7,24-Feb,0,0,שחור,0,0,2,ראש העין
60,51465926,קיה, ספורטז',108000,1999,2019,1,75000,7,23-Jun,0,0,שחור,0,0,2,ראשון לציון
61,54192702,שברולט, אקווינוקס,107000,1490,2020,1,76000,7,23-Jun,0,0,לבן,0,0,2,תל אביב יפו
62,71814091,סוזוקי, ג'ימני,42000,1328,2008,5,159000,7,24-Mar,0,0,ברונזה,0,0,2,רמת גן
63,46951956,יונדאי, i10,63000,1248,2019,1,88000,7,23-Oct,0,0,לבן,0,0,2,רמת גן
64,42871579,איסוזו, 4X4 D-MAX,95000,2499,2015,2,270000,6,23-Jul,0,0,לבן,0,0,2,תל אביב יפו
65,49356976,ב.מ.וו, סדרה 1,109000,1499,2018,2,73000,7,24-Mar,0,1,לבן,0,0,2,תל אביב יפו
66,55929040,יונדאי, טוסון,140000,1999,2020,1,20000,7,23-Aug,0,1,לבן,0,0,2,חולון
67,55160378,ב.מ.וו, X1,145000,1998,2017,2,100000,7,23-Dec,0,0,אפור,0,0,2,מודיעין מכבים רעות
68,97157360,הונדה, סיוויק האצ'בק החדשה,41000,1798,2014,4,146000,7,23-Jun,0,0,אפור,0,0,2,ראשון לציון
69,95333792,סובארו, XV,94000,1600,2018,1,83000,7,23-Dec,0,0,לבן,0,0,2,ראשון לציון
70,56162970,פורד, קוגה,72500,1498,2016,1,38100,7,24-Jan,0,0,אפור,0,0,2,שוהם
71,61863465,יונדאי, טוסון,,1999,2020,1,20000,7,23-Nov,0,0,שחור,0,0,2,תל אביב יפו
72,44250763,פיג'ו,108,27000,998,2015,3,125000,7,24-Jan,0,0,אדום,3,0,2,קרית אונו
73,48415579,סקייוול, ET5,179000,,2022,1,18000,2,23-Jul,0,0,כחול,0,0,2,ראש העין
74,52033303,אאודי, Q3,220000,1984,2020,2,30000,7,23-Dec,0,0,לבן,0,0,2,רמלה
75,95608628,סובארו, XV,,1600,2017,1,45000,7,23-Nov,0,0,כסוף,0,0,2,אזור
76,77766098,סקודה, קאמיק,115000,999,2021,1,15300,7,23-Oct,0,0,שחור,0,0,2,ראש העין
77,49993334,פיג'ו,3008,129500,1199,2020,1,37000,7,24-Feb,0,0,לבן,0,0,2,רמת גן
78,63799413,פולקסווגן, חיפושית החדשה,,2500,2008,1,120000,7,24-Feb,0,0,ירקרק,0,0,2,ראשון לציון
79,67573099,אאודי, Q3,102000,1395,2016,2,69400,7,24-Mar,0,0,לבן,0,0,2,קרית אונו
80,55144626,יונדאי, אלנטרה (2016 ואילך),61000,1591,2017,2,129000,7,23-Jul,0,1,לבן,0,0,2,בת ים
81,86109691,יונדאי, i30,27900,1591,2012,2,173000,7,24-Feb,0,0,לבן,0,0,2,ראשון לציון
82,84644467,יונדאי, i25,34000,1591,2014,2,180000,7,24-Jan,0,0,לבן,0,0,2,אור יהודה
83,84425122,טסלה, מודל 3,221600,,2022,1,13800,2,24-Nov,0,0,לבן,0,0,2,רמת גן
84,94621193,מרצדס, GLE קופה,304000,2996,2017,2,100000,7,24-Jan,0,0,לבן,0,0,2,ראשון לציון
85,48490388,ג'יפ / Jeep, גרנד צ'ירוקי,325000,3604,2022,1,8500,7,23-Jun,0,0,שחור,0,0,2,פתח תקווה
86,53121715,ג'יפ / Jeep, רנגלר ארוך,445000,3604,2022,2,12500,7,23-May,0,0,שחור,0,0,2,חולון
87,43077932,פיג'ו,2008,112000,1199,2021,1,76000,7,23-May,0,0,לבן,0,0,2,תל אביב יפו
88,83289730,טויוטה, לנד קרוזר קצר,300000,2755,2020,1,47000,6,24-Jan,0,0,כסף,0,0,2,מודיעין מכבים רעות
89,72305379,יונדאי, i10,17000,1086,2011,3,180000,7,24-Jan,0,0,כחול,1,0,2,חולון
90,58978598,איסוזו, 4X4 D-MAX,73000,2999,2010,6,289000,6,23-Nov,0,0,כסוף,1,0,2,רמלה
91,89340680,סקודה, אוקטביה,80000,999,2019,2,142000,7,24-Apr,0,1,אפור,0,0,2,גבעת שמואל
92,52150527,סקודה, קארוק,108000,1598,2018,1,69300,6,23-Nov,0,1,ירוק,0,0,2,מודיעין מכבים רעות
93,56802329,ניסאן, ג'וק / Juke,30000,1598,2012,1,170000,7,23-Apr,0,1,אדום,0,0,2,תל אביב יפו
94,65202192,שברולט, ספארק,65000,1399,2021,1,18000,7,24-Apr,0,1,לבן,0,0,2,תל אביב יפו
95,73384797,ניסאן, קשקאי,76000,1197,2017,1,70500,7,24-Jan,0,1,לבן,0,0,2,פתח תקווה
96,71372851,אורה / Ora, Funky Cat,150000,,2023,1,1000,2,23-Apr,0,1,לבן,0,0,2,תל אביב יפו
97,73811682,ג'יפ / Jeep, רנגלר ארוך,289000,1995,2021,2,29000,7,24-Mar,0,0,לבן,0,0,2,רמת גן
98,51845787,לנד רובר, ריינג' רובר ספורט,,1997,2020,1,69000,3,23-Dec,0,0,לבן,0,0,2,סביון
99,76426051,פיג'ו,3008,89000,1560,2017,1,107000,6,23-Nov,0,0,ירוק,0,0,2,ראש העין
100,63358428,סקודה, קודיאק,229000,1968,2022,1,13800,6,23-Jun,0,0,כסף,0,0,2,חולון
101,47199345,אינפיניטי, Q70 / M37,129000,3696,2017,2,89000,7,23-Sep,0,0,אפור,0,0,2,תל אביב יפו
102,58266373,פולקסווגן, שירוקו,44000,1390,2010,10,30000,7,23-Oct,0,0,שחור,1,0,2,תל אביב יפו
103,62490340,טסלה, מודל Y,315000,,2023,1,1800,2,26-Mar,0,0,שחור,0,0,2,תל אביב יפו
104,62131223,מרצדס, C-Class קופה / קבריולט,329000,1991,2020,2,60000,7,26-Mar,0,0,שחור,0,0,2,תל אביב יפו
