,ad_num,company,model,price,engine,year,hand,km,eng_kind,test,current_owner,prev_owner,צבע,gearbox,trader,area,sub_area,price_list,price_list_url
0,99083538,ב.מ.וו, X5,,1997.0,2017,2,93000,3,02/2024,0,6,אפור,0,0,2,גני תקווה,,https://www.yad2.co.il/price-list/sub-model/29550/2017
1,65146899,ג'יפ / Jeep, גרנד צ'ירוקי,140000.0,3604.0,2017,2,95000,7,05/2023,0,6,שחור,0,0,2,מודיעין מכבים רעות,,https://www.yad2.co.il/price-list/sub-model/29738/2017
2,73811682,ג'יפ / Jeep, רנגלר ארוך,268000.0,1995.0,2021,2,29000,7,03/2024,0,0,לבן,0,0,2,רמת גן,,https://www.yad2.co.il/price-list/sub-model/34389/2021
3,77276021,מיצובישי, אאוטלנדר PHEV,149000.0,2360.0,2020,2,74000,3,12/2023,0,0,לבן,0,0,2,פתח תקווה,,https://www.yad2.co.il/price-list/sub-model/32367/2020
4,55670284,שברולט, טרייל בלייזר,145000.0,1341.0,2022,1,17000,7,01/2024,0,0,שחור,0,0,2,רמלה,,https://www.yad2.co.il/price-list/sub-model/34528/2022
5,93516523,וולוו, XC60,250000.0,1969.0,2022,2,30000,7,01/2024,0,0,אפור,0,0,2,פתח תקווה,,https://www.yad2.co.il/price-list/sub-model/34495/2022
6,91102050,קיה, ספורטז',95000.0,1999.0,2017,1,100000,7,01/2024,0,0,לבן,0,0,2,באר יעקב,,https://www.yad2.co.il/price-list/sub-model/28656/2017
7,99595188,קיה, ספורטז',61000.0,1591.0,2015,2,112000,7,08/2023,0,0,לבן,0,0,2,ראשון לציון,,https://www.yad2.co.il/price-list/sub-model/30175/2015
8,68824067,מיצובישי, אאוטלנדר,101000.0,1998.0,2016,1,92000,7,05/2024,0,0,לבן,0,0,2,יהוד מונוסון,,https://www.yad2.co.il/price-list/sub-model/26359/2016
9,78325029,איסוזו, טרופר קצר,17000.0,3494.0,1999,6,300000,7,07/2023,0,0,אדום,0,0,2,תל אביב יפו,,https://www.yad2.co.il/price-list/sub-model/23455/1999
10,43104668,ניסאן, קשקאי,65000.0,1197.0,2016,2,100000,7,03/2024,0,0,כחול,0,0,2,ראש העין,,https://www.yad2.co.il/price-list/sub-model/29834/2016
11,71076975,הונדה, HR-V,83000.0,1498.0,2018,2,91000,7,12/2023,0,0,שחור,0,0,2,מודיעין מכבים רעות,,https://www.yad2.co.il/price-list/sub-model/33501/2018
12,75973666,אאודי, E-tron,433000.0,,2021,1,12000,2,07/2023,0,0,לבן,0,0,2,תל אביב יפו,,https://www.yad2.co.il/price-list/sub-model/34358/2021
13,61237674,סובארו, פורסטר,90000.0,1995.0,2016,2,134000,7,05/2024,0,0,כסוף,0,0,2,כפר סירקין,,https://www.yad2.co.il/price-list/sub-model/26970/2016
14,97531975,פורד, אקספלורר,27500.0,4601.0,2006,5,420000,7,01/2024,0,0,שחור,0,0,2,רמת גן,,https://www.yad2.co.il/price-list/sub-model/22829/2006
15,99506411,יונדאי, טוסון,138000.0,1591.0,2020,1,48000,7,01/2024,0,0,שחור,0,0,2,בת ים,,https://www.yad2.co.il/price-list/sub-model/32108/2020
16,67783582,סקודה, ייטי / Yeti,57000.0,1197.0,2016,2,159000,7,05/2023,0,0,אפור,0,0,2,חולון,,https://www.yad2.co.il/price-list/sub-model/27825/2016
17,82056542,וולוו, XC40,290000.0,1477.0,2022,1,24000,3,02/2024,0,0,כסף,0,0,2,יגל,,https://www.yad2.co.il/price-list/sub-model/34121/2022
18,54433023,וולוו, XC90,18000.0,3192.0,2007,2,220000,7,08/2023,0,0,אפור,0,0,2,תל אביב יפו,,https://www.yad2.co.il/price-list/sub-model/21667/2007
19,44552881,קיה, ספורטז',89500.0,1999.0,2017,2,69500,7,04/2023,0,1,לבן,0,0,2,גבעת שמואל,,https://www.yad2.co.il/price-list/sub-model/28656/2017
20,76786003,יונדאי, סנטה פה,85000.0,2359.0,2014,2,144000,7,04/2024,0,0,לבן,0,0,2,ראשון לציון,,https://www.yad2.co.il/price-list/sub-model/26322/2014
21,89462740,אאודי, Q3,185000.0,1498.0,2019,1,29000,7,09/2023,0,0,שחור,0,0,2,תל אביב יפו,,https://www.yad2.co.il/price-list/sub-model/32897/2019
22,69478712,מיצובישי, אאוטלנדר,139000.0,1998.0,2020,2,60000,7,02/2024,0,0,שחור,0,0,2,אלעד,,https://www.yad2.co.il/price-list/sub-model/26359/2020
23,51845787,לנד רובר, ריינג' רובר ספורט,,1997.0,2020,1,69000,3,12/2023,0,0,לבן,0,0,2,סביון,,https://www.yad2.co.il/price-list/sub-model/35966/2020
24,45272468,סוזוקי, ויטרה,75000.0,1586.0,2016,1,63000,7,04/2024,0,0,אדום,0,0,2,תל אביב יפו,,https://www.yad2.co.il/price-list/sub-model/27877/2016
25,54112516,לקסוס, UX,180000.0,1987.0,2021,1,49000,7,01/2024,0,0,שחור,0,0,2,ראש העין,,https://www.yad2.co.il/price-list/sub-model/32561/2021
26,46502111,טויוטה, לנד קרוזר ארוך,,2982.0,2011,2,184000,6,05/2023,0,9,כסף,0,0,2,תל אביב יפו,,https://www.yad2.co.il/price-list/sub-model/25557/2011
27,86851246,שברולט, טראקס,35000.0,1364.0,2014,1,115000,7,09/2023,0,9,שחור,0,0,2,בת ים,,https://www.yad2.co.il/price-list/sub-model/28522/2014
28,43729896,יונדאי, iX35,48000.0,1998.0,2011,1,105000,7,05/2023,0,9,שחור,0,0,2,אור יהודה,,https://www.yad2.co.il/price-list/sub-model/25112/2011
29,89713598,יונדאי, טוסון,101000.0,1999.0,2016,1,14505,7,07/2023,0,9,אפור,0,0,2,תל אביב יפו,,https://www.yad2.co.il/price-list/sub-model/27939/2016
30,83293732,סקודה, קודיאק,182000.0,1498.0,2019,1,22000,7,11/2023,0,9,לבן,0,0,2,אלעד,,https://www.yad2.co.il/price-list/sub-model/32104/2019
31,65853707,ג'נסיס, GV60,314000.0,,2022,1,10000,2,07/2023,0,9,לבן,0,0,2,ראש העין,,https://www.yad2.co.il/price-list/sub-model/37483/2022
32,67071551,סקודה, קארוק,119000.0,1498.0,2020,1,55000,7,01/2024,0,9,אפור,0,0,2,רמת גן,,https://www.yad2.co.il/price-list/sub-model/31219/2020
33,91967450,סובארו, פורסטר,149000.0,2498.0,2020,1,46000,7,11/2023,0,9,לבן,0,0,2,רמת גן,,https://www.yad2.co.il/price-list/sub-model/32149/2020
34,58394375,אאודי, Q3,58300.0,1984.0,2012,1,154000,7,08/2023,0,9,לבן,0,0,2,ראשון לציון,,https://www.yad2.co.il/price-list/sub-model/26234/2012
35,52185775,יונדאי, טוסון,121000.0,1999.0,2018,2,89500,7,02/2024,0,0,לבן,0,0,2,באר יעקב,,https://www.yad2.co.il/price-list/sub-model/33015/2018
36,97697062,מרצדס, GLE קופה,589000.0,1991,2021,2,40000,3,04/2023,0,0,לבן,0,0,2,חולון,,https://www.yad2.co.il/price-list/sub-model/35771/2021
37,67071551,סקודה, קארוק,119000.0,1498,2020,1,55000,7,01/2024,0,0,אפור,0,0,2,רמת גן,,https://www.yad2.co.il/price-list/sub-model/31219/2020
38,71441057,מיצובישי, אאוטלנדר,103000.0,1998,2016,2,60000,7,11/2023,0,0,שחור,0,0,2,רמת גן,,https://www.yad2.co.il/price-list/sub-model/26359/2016
39,53677801,ניסאן, קשקאי,84000.0,1197,2017,1,92000,7,03/2024,0,0,לבן,0,0,2,פתח תקווה,,https://www.yad2.co.il/price-list/sub-model/29227/2017
40,94621193,מרצדס, GLE קופה,299000.0,2996,2017,2,100000,7,01/2024,0,0,לבן,0,0,2,ראשון לציון,,https://www.yad2.co.il/price-list/sub-model/27921/2017
41,99023340,קיה, ספורטז',68000.0,1591,2016,2,138000,7,08/2023,0,0,לבן,0,0,2,גני תקווה,,https://www.yad2.co.il/price-list/sub-model/27479/2016
42,79661878,מיצובישי, פג'רו ארוך,35000.0,3200,2001,4,320000,6,10/2023,0,0,כסוף,0,0,2,כפר קאסם,,https://www.yad2.co.il/price-list/sub-model/23494/2001
43,83293732,סקודה, קודיאק,182000.0,1498,2019,1,22000,7,11/2023,0,0,לבן,0,0,2,אלעד,,https://www.yad2.co.il/price-list/sub-model/32104/2019
44,43380383,מיצובישי, אאוטלנדר,87000.0,1998,2016,2,106000,7,04/2024,0,0,אפור,0,0,2,משמר דוד,,https://www.yad2.co.il/price-list/sub-model/30924/2016
45,62485609,מיצובישי, ASX,123000.0,1998,2021,1,36200,7,03/2024,0,0,לבן,0,0,2,ראש העין,,https://www.yad2.co.il/price-list/sub-model/36423/2021
46,86590023,טויוטה, RAV4 הייבריד,,2494,2017,2,75000,7,07/2023,0,0,לבן,0,0,2,תל אביב יפו,,https://www.yad2.co.il/price-list/sub-model/29886/2017
47,45234909,שברולט, טראוורס,160000.0,3564,2018,1,90400,7,04/2023,0,0,לבן,0,0,2,ראשון לציון,,https://www.yad2.co.il/price-list/sub-model/30418/2018
48,94921914,ג'יפ / Jeep, רנגלר ארוך,345000.0,1995,2021,1,40000,7,02/2024,0,0,שחור,0,0,2,תל אביב יפו,,https://www.yad2.co.il/price-list/sub-model/32373/2021
49,84143643,ניסאן, קשקאי,39500.0,1997,2013,2,152353,7,04/2024,0,1,שחור,0,0,2,רמת גן,,https://www.yad2.co.il/price-list/sub-model/25394/2013
50,74045095,מיצובישי, אאוטלנדר PHEV,160000.0,2360,2019,1,54500,3,07/2023,0,1,לבן,0,0,2,לוד,,https://www.yad2.co.il/price-list/sub-model/32368/2019
51,64286690,ג'נסיס, GV80,490000.0,2996,2022,1,9000,6,03/2025,0,1,שחור,0,0,2,חולון,,https://www.yad2.co.il/price-list/sub-model/34904/2022
52,87100596,פורשה, קאיין,113300.0,3598,2011,2,80350,7,10/2023,0,0,לבן,0,0,2,תל אביב יפו,,https://www.yad2.co.il/price-list/sub-model/25971/2011
53,64917650,קיה, ספורטז',125000.0,1598,2020,1,48680,6,01/2024,0,0,לבן,0,0,2,רמת גן,,https://www.yad2.co.il/price-list/sub-model/32343/2020
54,64338523,ג'יפ / Jeep, רנגלר ארוך,339000.0,1995.0,2022,1,11000,7,05/2023,0,,לבן,0,0,2,חולון,,https://www.yad2.co.il/price-list/sub-model/34662/2022
