,ad_num,company,model,price,engine,year,hand,km,eng_kind,test,current_owner,prev_owner,color,gearbox,trader,area,sub_area,price_list,price0705,enc_company,enc_model,price1605,sold,car_kind
1,65146899.0,ג'יפ / Jeep,גרנד צ'ירוקי,140000.0,3604.0,2017,2,95000,7,05/2023,0.0,6.0,1,0.0,0,2,מודיעין מכבים רעות,159500.0,140000.0,16,9,195000.0,0,ג'יפים
2,73811682.0,ג'יפ / Jeep,רנגלר ארוך,268000.0,1995.0,2021,2,29000,7,03/2024,0.0,0.0,0,0.0,0,2,רמת גן,278100.0,-1.0,16,45,-1.0,1,ג'יפים
3,77276021.0,מיצובישי,אאוטלנדר PHEV,149000.0,2360.0,2020,2,74000,3,12/2023,0.0,0.0,0,0.0,0,2,פתח תקווה,155500.0,-1.0,4,67,-1.0,1,ג'יפים
4,55670284.0,שברולט,טרייל בלייזר,145000.0,1341.0,2022,1,17000,7,01/2024,0.0,0.0,1,0.0,0,2,רמלה,152100.0,126000.0,8,189,118000.0,0,ג'יפים
5,93516523.0,וולוו,XC60,250000.0,1969.0,2022,2,30000,7,01/2024,0.0,0.0,2,0.0,0,2,פתח תקווה,274700.0,250000.0,22,32,235500.0,0,ג'יפים
6,91102050.0,קיה,ספורטז',95000.0,1999.0,2017,1,100000,7,01/2024,0.0,0.0,0,0.0,0,2,באר יעקב,97600.0,90000.0,2,2,-1.0,1,משפחתיים
7,99595188.0,קיה,ספורטז',61000.0,1591.0,2015,2,112000,7,08/2023,0.0,0.0,0,0.0,0,2,ראשון לציון,65300.0,79000.0,2,2,79000.0,0,משפחתיים
8,68824067.0,מיצובישי,אאוטלנדר,101000.0,1998.0,2016,1,92000,7,05/2024,0.0,0.0,0,0.0,0,2,יהוד מונוסון,94900.0,-1.0,4,0,-1.0,1,ג'יפים
9,78325029.0,איסוזו,טרופר קצר,17000.0,3494.0,1999,6,300000,7,07/2023,0.0,0.0,5,0.0,0,2,תל אביב יפו,12300.0,17000.0,30,317,-1.0,1,ג'יפים
10,43104668.0,ניסאן,קשקאי,65000.0,1197.0,2016,2,100000,7,03/2024,0.0,0.0,4,0.0,0,2,ראש העין,69500.0,189000.0,5,3,59990.0,0,משפחתיים
11,71076975.0,הונדה,HR-V,83000.0,1498.0,2018,2,91000,7,12/2023,0.0,0.0,1,0.0,0,2,מודיעין מכבים רעות,67600.0,-1.0,17,104,-1.0,1,ג'יפים
13,61237674.0,סובארו,פורסטר,90000.0,1995.0,2016,2,134000,7,05/2024,0.0,0.0,3,0.0,0,2,כפר סירקין,92500.0,-1.0,18,16,-1.0,1,ג'יפים
14,97531975.0,פורד,אקספלורר,27500.0,4601.0,2006,5,420000,7,01/2024,0.0,0.0,1,0.0,0,2,רמת גן,25900.0,80000.0,11,28,23000.0,0,ג'יפים
15,99506411.0,יונדאי,טוסון,138000.0,1591.0,2020,1,48000,7,01/2024,0.0,0.0,1,0.0,0,2,בת ים,146100.0,134000.0,1,1,141000.0,0,ג'יפים
16,67783582.0,סקודה,ייטי / Yeti,57000.0,1197.0,2016,2,159000,7,05/2023,0.0,0.0,2,0.0,0,2,חולון,52700.0,42555.0,3,168,-1.0,1,משפחתיים
17,82056542.0,וולוו,XC40,290000.0,1477.0,2022,1,24000,3,02/2024,0.0,0.0,6,0.0,0,2,יגל,257900.0,138770.0,22,161,229900.0,0,ג'יפים
18,54433023.0,וולוו,XC90,18000.0,3192.0,2007,2,220000,7,08/2023,0.0,0.0,2,0.0,0,2,תל אביב יפו,28200.0,220000.0,22,124,18000.0,0,ג'יפים
